rank,country,population,area,population_density
138,Puerto Rico,"3,23 million",8870,3252407
139,Bosnia And Herzegovina,"3,19 million",51209,3233526
140,Wales,"2,84 million",20779,3193665
141,Albania,"2,83 million",28748,2842321
142,Jamaica,"2,78 million",10991,2827377
143,Armenia,"2,75 million",29743,2780469
144,Lithuania,"2,71 million",65300,2750055
145,Gambia,"2,7 million",10689,2705992
146,Qatar,"2,63 million",11586,2695122
147,Botswana,"2,57 million",582000,2630296
148,Namibia,"2,39 million",825615,2567012
149,Gabon,"2,31 million",267668,2388992
150,Lesotho,"2,12 million",30355,2305825
151,Slovenia,"2,11 million",20273,2119844
152,Guinea Bissau,"2,09 million",36125,2105566
153,North Macedonia,"1,85 million",25713,2093599
154,Latvia,"1,8 million",64559,1850651
155,Kosovo,"1,67 million",10887,1802250
156,Equatorial Guinea,"1,53 million",28051,1674908
157,Trinidad And Tobago,"1,47 million",5130,1531044
158,Bahrain,"1,34 million",765,1472233
159,Timor Leste,"1,33 million",14874,1341296
160,Estonia,"1,3 million",45227,1326062
161,Mauritius,"1,25 million",2040,1299469
162,Cyprus,"1,2 million",9251,1251488
163,Eswatini,"1,12 million",17364,1201670
164,Djibouti,"1,12 million",23200,1120849
165,Reunion,"974,05 thousand",2511,974052
166,Fiji,"929,77 thousand",18272,929766
167,Comoros,"836,77 thousand",1862,836774
168,Guyana,"808,73 thousand",214969,808726
169,Bhutan,"782,46 thousand",38394,782455
170,Solomon Islands,"724,27 thousand",28896,724273
171,Luxembourg,"647,6 thousand",2586,647599
172,Montenegro,"627,08 thousand",13812,627082
173,Suriname,"618,04 thousand",163820,618040
174,Cape Verde,"593,15 thousand",4033,593149
175,Western Sahara,"575,99 thousand",266000,575986
176,Malta,"533,29 thousand",316,533286
177,Maldives,"523,79 thousand",300,523787
178,Brunei,449 thousand,5765,449002
179,Bahamas,"409,98 thousand",13943,409984
180,Belize,"405,27 thousand",22966,405272
181,Guadeloupe,"395,75 thousand",1628,395752
182,Iceland,"372,9 thousand",103000,372899
183,Martinique,"367,51 thousand",1128,367507
184,Vanuatu,"326,74 thousand",12189,326740
185,Mayotte,"326,1 thousand",374,326101
186,French Guiana,"304,56 thousand",83534,304557
187,Barbados,"281,64 thousand",430,281635
188,Sao Tome And Principe,"227,38 thousand",964,227380
189,Samoa,"222,38 thousand",2842,222382
190,Saint Lucia,"179,86 thousand",616,179857
191,Kiribati,"131,23 thousand",811,131232
192,Grenada,"125,44 thousand",344,125438
193,Micronesia,"114,16 thousand",702,114164
194,Seychelles,"107,12 thousand",452,107118
195,Tonga,"106,86 thousand",747,106858
196,Saint Vincent And the Grenadines,"103,95 thousand",389,103948
197,Antigua And Barbuda,"93,76 thousand",442,93763
198,Andorra,"79,82 thousand",468,79824
199,Dominica,"72,74 thousand",751,72737
200,Greenland,"56,47 thousand",2166086,56466
201,Saint Kitts And Nevis,"47,66 thousand",261,47657
202,Marshall Islands,"41,57 thousand",181,41569
203,Liechtenstein,"39,33 thousand",160,39327
204,Monaco,"36,47 thousand",2,36469
205,San Marino,"33,66 thousand",61,33660
206,Palau,"18,06 thousand",459,18055
207,Nauru,"12,67 thousand",21,12668
208,Tuvalu,"11,31 thousand",26,11312
209,Vatican City,510,1,510
