rank,country,population,area,population_number,alpha3_code,population_density
44,Uzbekistan,34.63 million,447.4 thousand km2,34627652,UZB,77.4 per km2
45,Peru,34.05 million,1.29 million km2,34049588,PER,26.49 per km2
46,Malaysia,33.94 million,330.8 thousand km2,33938221,MYS,102.59 per km2
47,Yemen,33.7 million,527.97 thousand km2,33696614,YEM,63.82 per km2
48,Ghana,33.48 million,238.53 thousand km2,33475870,GHA,140.34 per km2
49,Mozambique,32.97 million,801.59 thousand km2,32969518,MOZ,41.13 per km2
50,Nepal,30.55 million,147.18 thousand km2,30547580,NPL,207.55 per km2
51,Madagascar,29.61 million,587.04 thousand km2,29611714,MDG,50.44 per km2
52,Venezuela,28.3 million,916.45 thousand km2,28301696,VEN,30.88 per km2
53,Ivory Coast,28.16 million,322.46 thousand km2,28160542,CIV,87.33 per km2
54,Cameroon,27.91 million,475.44 thousand km2,27914536,CMR,58.71 per km2
55,Niger,26.21 million,1.27 million km2,26207977,NER,20.69 per km2
56,Australia,26.18 million,7.69 million km2,26177413,AUS,3.4 per km2
57,North Korea,26.07 million,120.54 thousand km2,26069416,PRK,216.28 per km2
58,Taiwan,23.89 million,36.19 thousand km2,23893394,TWN,660.17 per km2
59,Burkina Faso,22.67 million,272.97 thousand km2,22673762,BFA,83.06 per km2
60,Mali,22.59 million,1.24 million km2,22593590,MLI,18.22 per km2
61,Syria,22.13 million,185.18 thousand km2,22125249,SYR,119.48 per km2
62,Sri Lanka,21.83 million,65.61 thousand km2,21832143,LKA,332.76 per km2
63,Malawi,20.41 million,118.48 thousand km2,20405317,MWI,172.22 per km2
64,Zambia,20.02 million,752.61 thousand km2,20017675,ZMB,26.6 per km2
65,Romania,19.66 million,238.39 thousand km2,19659267,ROU,82.47 per km2
66,Chile,19.6 million,756.1 thousand km2,19603733,CHL,25.93 per km2
67,Kazakhstan,19.4 million,2.72 million km2,19397998,KAZ,7.12 per km2
68,Ecuador,18.0 million,276.84 thousand km2,18001000,ECU,65.02 per km2
69,Guatemala,17.84 million,108.89 thousand km2,17843908,GTM,163.87 per km2
70,Chad,17.72 million,1.28 million km2,17723315,TCD,13.8 per km2
71,Somalia,17.6 million,637.66 thousand km2,17597511,SOM,27.6 per km2
